id,name,email,address,amount_spent,city,country,spending_category
996599,John Bowman,elizabethtaylor@lyons-pope.com,"990 Angela Canyon Apt. 676, North John, NM 31065",6383.51,New Johnville,Congo,Medium
836394,Shannon West,becksusan@padilla.com,"3055 Patrick Oval Suite 842, Robinbury, RI 16182",1427.5,East Blake,Kenya,Low
839937,Manuel Wright,rtaylor@hotmail.com,"5551 Hart View, East Nichole, ME 42207",13101.99,Rachelchester,Indonesia,Very High
129656,Nicole Maddox,pharrison@wilson-jones.org,"07635 Garrison Drive Suite 466, Leslieville, MA 72929",2522.52,Perryberg,Niue,Low
193288,Beth Malone,caitlin80@jones.com,"0444 Angela Bridge Apt. 056, West Barryfurt, AR 64936",9902.34,South Richard,Poland,High
585425,Martha Holland,mccormicktyler@hotmail.com,"0241 Palmer Locks Apt. 925, Vincentton, GA 41441",16394.9,Lake Tonyastad,Saint Pierre and Miquelon,Very High
916989,Charles Bowen,xnewman@ruiz.com,"Unit 4602 Box 9785, DPO AA 04118",3076.28,East Caseyland,Cayman Islands,Low
995718,Michael Weaver,reyesjohn@gmail.com,"4294 Wood Causeway, Pughville, NJ 16635",9179.04,Geraldville,Christmas Island,High
417283,Paul Banks,sarahscott@gmail.com,"431 Antonio Ranch Apt. 138, Port Adam, NC 87364",18802.37,West Michael,United States Minor Outlying Islands,Very High
849065,Aaron Hernandez,douglasvance@yahoo.com,"933 Timothy Villages Apt. 520, West Jacquelineland, TX 70681",6626.6,Daisyburgh,Ireland,Medium
450984,Robert Foster,bradley16@cox-stone.com,"53405 Rose Locks Apt. 963, Greenfort, RI 55650",6465.86,South Jacquelinechester,United Kingdom,Medium
166100,Richard Nguyen,tanya30@gmail.com,"5212 Scott Mountain, Wileybury, VT 20226",9069.61,New Williamton,Israel,High
257818,Elizabeth Baker,dunndawn@hotmail.com,"425 Kristen Mall, Jillianchester, NM 87217",1588.85,West Nancy,Tajikistan,Low
159914,Richard Edwards,lovelisa@brown.net,"459 Christine Loop Suite 907, Alejandroshire, DC 83260",15199.2,Port Davidborough,Estonia,Very High
399327,Sandy Gill,cooperkathleen@hotmail.com,"8395 Cooper Pine Apt. 091, New Charles, CO 72091",12102.98,Davisstad,Moldova,Very High
145174,Suzanne Jones,emily06@sullivan.com,"77352 Powell Shore Apt. 678, Cookberg, SC 06461",12202.29,Lake Jefferyfurt,South Georgia and the South Sandwich Islands,Very High
606508,David Hansen,angelarose@lopez.com,"6922 Herring Cape, Lisatown, OK 41043",11716.8,New Jenniferside,United States Virgin Islands,High
730194,Christopher Garcia,leenicholas@anderson.com,"190 Love View, Martinezberg, MT 58539",18980.92,Port Traciefurt,Benin,Very High
101737,Jacob Mckenzie,craigsandoval@mcdonald.com,"403 Ross Points, Lake Jessica, ME 62215",12611.45,Port Raymond,Cayman Islands,Very High
121095,Kristi Flores,timlynch@yahoo.com,"50248 Garcia Port Suite 719, West Paigeport, NV 09337",6541.11,Francisview,Gambia,Medium
730329,Clarence Mathis,bartonandrew@carney.com,"4104 Jason Crescent Apt. 251, Jenniferhaven, AR 96562",8432.3,Jamesland,Bahrain,High
492115,Ariana Pena,lowekimberly@gmail.com,"01567 Emily Rest, West Brenda, OR 72782",563.86,Port Jamesshire,Seychelles,Low
452214,Cynthia Carter,caitlingonzalez@yahoo.com,"50966 Harris River, Gonzalezhaven, GA 33222",9820.32,Cynthiaview,Anguilla,High
261246,Dakota Gonzalez,hernandeztracy@hotmail.com,"536 Julie Summit, Gonzalezville, AR 77887",10665.66,Melissaton,Iran,High
721377,Lori Jones,dcampbell@yahoo.com,"00524 Harold Mountains, Thomasshire, SC 54770",19654.9,South Michelle,Austria,Very High
995822,Miguel Garza,pmay@gmail.com,"33648 Simon Island Suite 768, North Thomasberg, TN 94919",8432.65,West Joseph,Afghanistan,High
856031,Jennifer Mejia,cameronross@johnson.com,"PSC 5842, Box 5917, APO AP 03341",4794.88,Samuelburgh,Tuvalu,Medium
957561,Teresa Castro,alejandrohernandez@yahoo.com,"6322 Johnson Lodge, Smithmouth, WA 55255",6569.23,East Luis,Malawi,Medium
884727,Michelle Lucero,austin96@olsen.info,"031 Jones Trail, West Robert, MI 22234",14668.78,Hawkinsmouth,Macao,Very High
576918,Harry Lin,angie14@hotmail.com,"PSC 2432, Box 7614, APO AA 79584",4640,Theresafurt,Namibia,Medium
348608,Mr. David King,eolsen@walter.info,"610 Allison Mills Apt. 680, Colleenland, TN 98330",17031.01,New Rogerfurt,United States Virgin Islands,Very High
784187,Megan Powell,crawfordmichael@francis-maynard.net,"PSC 1122, Box 2248, APO AE 42075",19015.31,Mezamouth,Montenegro,Very High
387121,Donna Ashley,matthew80@waller.com,"479 Kim Ford Apt. 548, Herrerahaven, CA 33035",7391.54,West Dawn,Macao,Medium
589696,Kelly Phillips,richardporter@valdez.org,"49999 King Passage, Watsonside, HI 21435",11828.81,Port Kathleen,Denmark,High
807314,Marissa Watson,catherine13@contreras.info,"Unit 9260 Box 8404, DPO AE 80731",2581.93,West Shellyville,Gabon,Low
572021,Stephen Fitzgerald,joshuasmith@yahoo.com,"36154 Dougherty Skyway Suite 598, New Bethmouth, AZ 70806",19102.91,Bullockborough,Venezuela,Very High
639789,Daniel Steele,david98@chang.com,"36769 Laura Roads Suite 167, Romanmouth, MS 53902",10434.63,Hollyport,Spain,High
494567,Peter Harris,phillipsthomas@yahoo.com,"11026 Jeffrey Field Apt. 501, Rodrigueztown, OK 40659",8987.7,East Josephchester,Italy,High
416761,Bryan Patrick,mbarry@yahoo.com,"6112 Mann Forks Apt. 875, Princemouth, WV 17734",17667.61,South William,Argentina,Very High
917320,Kevin Richards,reidpam@williamson.com,"1907 Elizabeth Skyway, New Mary, AZ 78108",2470.03,Jamestown,Fiji,Low
989508,Jamie Freeman,dylanpierce@yahoo.com,"500 Nguyen Light, Port Joseph, NV 61066",2382.26,Richardmouth,Cook Islands,Low
353708,Jerry Stewart,gabriel60@hotmail.com,"860 Schmidt Square, Evansview, IL 30870",15573.03,Lake James,Martinique,Very High
713420,Jasmine Delgado,robert45@hotmail.com,"12354 Gallegos Prairie Apt. 349, Pattyhaven, ID 02040",8147.05,Lake Kelly,Madagascar,High
645698,Christy Hoffman,yjohnson@hotmail.com,"07670 Martinez Meadows Apt. 772, Bowerston, HI 83863",4441.73,Jenniferberg,Peru,Medium
894500,Mercedes Jones,omoore@yahoo.com,"8353 Valentine Extensions Suite 163, Ambershire, OH 40999",18099.64,Dukeborough,Mongolia,Very High
789081,Shari Riley,steven42@gmail.com,"51865 Peters Mill, Bartonhaven, IL 00573",14346.16,Johnland,Finland,Very High
616257,David Lowe,cynthiapitts@gmail.com,"46807 Erickson Estates Suite 419, Kathrynchester, NH 36031",4258.59,South Karenchester,Gibraltar,Medium
997244,Patricia Lutz,arivera@porter.net,"500 Edwards Brook Suite 232, Annetteland, RI 38752",5443.68,Cainville,Kuwait,Medium
364054,Anna Cooley,sean33@powell-robbins.com,"Unit 1294 Box 9440, DPO AA 42953",17065.77,West Robertton,Malaysia,Very High
631779,Penny Hawkins,smithrichard@kent.com,"1681 Melissa Ports, Moorestad, MA 52211",8753.51,Port Madison,Argentina,High
762773,Brittany Maxwell,reneebutler@logan.com,"USCGC Jones, FPO AE 29709",6752.16,Lake Hayleymouth,Finland,Medium
850530,Emily Johnson,ldavis@miller.net,"46779 Lopez Point Apt. 906, North Christopher, NE 81362",4692.96,West Emily,Romania,Medium
849270,Terri Fleming,jessicahobbs@yahoo.com,"Unit 1812 Box 9267, DPO AP 21885",14815.61,Lake Jessicashire,British Virgin Islands,Very High
700354,Matthew Greer,sharon72@hotmail.com,"07075 Ashley Lights, Jenniferfort, DC 61344",16436.67,Danaborough,Finland,Very High
829226,Jonathon Vaughan,rcastro@mack.com,"1975 Long Square Apt. 336, East Michael, NY 84090",7182.84,Beckerview,Netherlands Antilles,Medium
